Country	Cases	Deaths	Population	continent	UrbanPop	LifeExp	Smoking	AlcConsump	BMI_m	BMI_f	SBP_f.x	SBP_f.y	cholesterol_m	cholesterol_f	GovtHealthUSD_pp	TotHealthUSD_pp	LandSqkm	DemScore	CPI	WomanInParlia	Income_pp	BasicSaniAcc	Casesper100kpp	Deathsper100kpp	FatalityRate	BMI_m_class	BMI_f_class
Latvia	117795	2125	1886202	Europe	0.682	75.2	0.394	13.4	26.5	25.6	130	130	5.14	5.18	439	718	62200	8	58	0.3	29000	0.921	6245.09	112.66	1.8	overweight	overweight
Lebanon	525577	7249	6825442	Asia	0.888	78	0.181	2.3	27.2	27.7	128	128	4.76	4.97	255	651	10200	7	28	0.0469	12300	0.985	7700.26	106.21	1.38	overweight	overweight
Lesotho	10731	316	2142252	Africa	0.286	54.7	0.247484375	5.56	21.9	26.8	131	131	4.11	4.27	83	109	30400	8	42	0.23	2970	0.428	500.92	14.75	2.94	normal weight	overweight
Liberia	2099	85	5057677	Africa	0.516	64.4	0.247484375	5.07	21.9	23.2	131	131	3.81	4.05	9.49	29.2	96300	6	31	0.0971	1110	0.17	41.5	1.68	4.05	normal weight	normal weight
Libya	177072	3023	6871287	Africa	0.804	73	0.247484375	0.1	26.5	29.2	134	134	4.59	4.69	333	484	1760000	0	17	0.16	14500	1	2576.98	43.99	1.71	overweight	overweight
Liechtenstein	2921	57	38137	Europe	0.144	72.73743315508021	0.247484375	6.707608695652174	24.962433862433862	25.793121693121694	126.70370370370371	126.70370370370371	4.64978835978836	4.768624338624338	729.5684324324325	1030.9251366120218	160	3.9751552795031055	42.7909604519774	0.12	19277.55958549223	1	7659.23	149.46	1.95	overweight	overweight
Lithuania	245896	3916	2722291	Europe	0.679	75	0.33	16.3	26.9	26	131	131	5.14	5.15	574	781	62600	10	59	0.241	34600	0.934	9032.69	143.85	1.59	overweight	overweight
Luxembourg	67045	794	625976	Europe	0.912	81.7	0.347	12.8	27.4	26.1	122	122	5.55	5.45	6910	8180	2430	3.9751552795031055	82	0.3	95800	0.976	10710.47	126.84	1.18	overweight	overweight
Madagascar	36696	637	27691019	Africa	0.379	63.5	0.247484375	1.32	21.4	20.7	133	133	4.22	4.3	9.59	15.9	582000	0	24	0.183	1560	0.105	132.52	2.3	1.74	normal weight	normal weight
Malawi	34062	1148	19129955	Africa	0.172	63.2	0.15	1.44	22	22.9	134	134	4.23	4.36	15.4	25.6	94300	6	31	0.229	1240	0.262	178.06	6	3.37	normal weight	normal weight
Malaysia	404925	1492	32365998	Asia	0.766	74.7	0.288	0.87	24.7	25.4	124	124	4.98	5.12	204	368	329000	6	47	0.159	31000	0.996	1251.08	4.61	0.37	normal weight	overweight
Maldives	29370	73	540542	Asia	0.402	81.5	0.282	6.707608695652174	23.2	26.4	123	123	4.63	4.91	231	383	300	3.9751552795031055	33	0.046	15400	0.994	5433.44	13.5	0.25	normal weight	overweight
Mali	13815	481	20250834	Africa	0.431	62	0.112	0.99	21.8	23.1	128	128	3.98	4.14	14.8	31.7	1220000	7	31	0.279	2180	0.393	68.22	2.38	3.48	normal weight	normal weight
Malta	30276	413	441539	Europe	0.947	81	0.287	4.1	27.7	27.1	124	124	5.3	5.24	1110	1700	320	3.9751552795031055	56	0.134	41300	1	6856.93	93.54	1.36	overweight	overweight
Marshall Islands	4	0	58413	Oceania	0.774	64.5	0.247484375	6.707608695652174	29.4	31.4	122	122	4.81	5.02	433	520	180	3.9751552795031055	42.7909604519774	0.0606	3670	0.835	6.85	0	0	overweight	obese
Mauritania	18377	455	4649660	Africa	0.545	70.5	0.131	0.11	22.6	26.3	130	130	4.15	4.27	22.7	42.7	1030000	-2	28	0.203	4170	0.484	395.23	9.79	2.48	normal weight	overweight
Mauritius	1208	17	1271767	Africa	0.408	74.8	0.185	3.53	25.2	26.1	131	131	4.93	4.92	187	449	2030	10	50	0.2	23600	0.955	94.99	1.34	1.41	overweight	overweight
Mexico	2340934	216447	127792286	Americas	0.804	75.5	0.247	8.55	27.4	28.7	122	122	4.93	5.15	729.5684324324325	1030.9251366120218	1940000	8	29	0.484	18300	0.912	1831.83	169.37	9.25	overweight	overweight
Micronesia	1	0	113815	Oceania	0.228	67.2	0.247484375	5.25	28.1	31.3	125	125	4.95	4.96	334	366	700	3.9751552795031055	42.7909604519774	0	3280	0.883	0.88	0	0	overweight	obese
Moldova	250508	5795	4033963	Europe	0.427	72.9	0.26	23	24.2	27.1	130	130	4.58	4.67	87.2	190	32900	8	31	0.248	7250	0.763	6209.97	143.66	2.31	normal weight	overweight
Monaco	2452	32	39244	Europe	1	72.73743315508021	0.247484375	6.707608695652174	24.962433862433862	25.793121693121694	126.70370370370371	126.70370370370371	4.64978835978836	4.768624338624338	5570	6330	664305.219895288	3.9751552795031055	42.7909604519774	0.333	62700	1	6248.09	81.54	1.31	overweight	overweight
Mongolia	35979	110	3278292	Asia	0.685	68.9	0.263	3.41	24.9	25.7	130	130	4.66	4.71	66.2	120	1550000	10	36	0.173	13600	0.585	1097.49	3.36	0.31	overweight	overweight
Montenegro	97257	1492	628062	Europe	0.672	76.5	0.247484375	6.707608695652174	26.6	25.7	129	129	4.94	5	389	578	13500	9	46	0.222	18700	0.978	15485.25	237.56	1.53	overweight	overweight
Morocco	510886	9020	36910558	Africa	0.63	74	0.15	1.24	25.6	26.2	127	127	4.53	4.69	56.2	148	446000	-4	40	0.184	8220	0.885	1384.12	24.44	1.77	overweight	overweight
Mozambique	69864	814	31255435	Africa	0.365	58.4	0.128	2.27	21.9	23.3	135	135	4.33	4.37	15.3	21.3	786000	5	25	0.424	1220	0.294	223.53	2.6	1.17	normal weight	normal weight
Namibia	48177	638	2540916	Africa	0.51	66.5	0.249	12.1	22.6	25.1	133	133	4.46	4.6	211	361	823000	6	51	0.363	9720	0.345	1896.05	25.11	1.32	normal weight	overweight
Nepal	317530	3246	29136808	Asia	0.202	70.9	0.306	2.42	20.8	20.7	126	126	4.15	4.27	9.9	1030.9251366120218	143000	6	31	0.336	3150	0.621	1089.79	11.14	1.02	normal weight	normal weight
Netherlands	1515165	17372	17134873	Europe	0.919	81.5	0.343	9.75	26	25.5	122	122	5.35	5.28	4430	5590	33700	10	82	0.351	51800	0.977	8842.58	101.38	1.15	overweight	overweight
New Zealand	2613	26	4822233	Oceania	0.866	81.6	0.286	9.99	27.8	27.4	119	119	5.19	5.19	2730	3280	263000	10	89	0.408	37000	1	54.19	0.54	1	overweight	overweight
Nicaragua	6898	182	6624554	Americas	0.588	78.8	0.247484375	5.21	25.8	27.6	124	124	4.33	4.57	729.5684324324325	1030.9251366120218	120000	9	26	0.473	4480	0.744	104.13	2.75	2.64	overweight	overweight
Niger	5226	191	24206636	Africa	0.165	62.4	0.247484375	0.34	21.2	22	135	135	3.8	3.97	9.3	18.3	1270000	6	33	0.17	991	0.136	21.59	0.79	3.65	normal weight	normal weight
Nigeria	165055	2063	206139587	Africa	0.512	64.3	0.071	12.7	23	23.7	136	136	3.79	4.12	23.8	62.8	911000	4	27	0.045	5300	0.392	80.07	1	1.25	normal weight	normal weight
North Macedonia	152002	4818	2083380	Europe	0.582	76.5	0.247484375	8.94	26.3	25.4	130	130	4.78	4.88	202	317	25200	9	35	0.383	14800	0.991	7295.93	231.26	3.17	overweight	overweight
Norway	112541	754	5421242	Europe	0.826	82.3	0.32	8.35	26.9	25.7	126	126	5.39	5.32	6790	8090	365000	10	85	0.414	68200	0.981	2075.93	13.91	0.67	overweight	overweight
Oman	193253	2010	5106622	Asia	0.854	77.1	0.131	0.92	26.2	26.7	127	127	4.94	5.05	460	574	310000	-8	44	0.0988	36400	1	3784.36	39.36	1.04	overweight	overweight
Pakistan	820823	17811	220892331	Asia	0.369	66.8	0.211	0.05	22.3	23.4	127	127	4.46	4.55	8.38	21.8	771000	6	32	0.2	5080	0.599	371.59	8.06	2.17	normal weight	normal weight
Panama	364218	6227	4314768	Americas	0.681	79.3	0.247484375	7.3	26.3	27.7	123	123	4.72	4.93	463	616	74300	9	37	0.225	25100	0.833	8441.2	144.32	1.71	overweight	overweight
Papua New Guinea	10997	107	8947027	Oceania	0.133	58.5	0.247484375	3.64	25	25.8	120	120	4.62	4.76	35.4	49.4	453000	4	29	0	3970	0.129	122.91	1.2	0.97	overweight	overweight
Paraguay	276865	6302	7132530	Americas	0.619	76.1	0.24	7.91	25.5	25.9	124	124	4.62	4.78	59.3	163	397000	8	29	0.176	12700	0.898	3881.72	88.36	2.28	overweight	overweight
Peru	1783339	60742	32971846	Americas	0.781	80.3	0.247484375	6.53	24.8	26	120	120	4.67	4.75	145	269	1280000	9	37	0.261	13700	0.743	5408.67	184.22	3.41	normal weight	overweight
Philippines	1028738	17145	109581085	Asia	0.471	69.7	0.26	6.08	22.9	23.5	122	122	4.7	4.93	27.3	77.3	298000	8	34	0.281	9040	0.765	938.79	15.65	1.67	normal weight	normal weight
Poland	2785353	67073	37846605	Europe	0.6	78	0.356	14.4	26.7	25.9	130	130	5.27	5.15	666	917	306000	10	60	0.279	31700	0.988	7359.58	177.22	2.41	overweight	overweight
Portugal	836033	16974	10196707	Europe	0.658	81.4	0.358	13.9	26.7	26.2	127	127	5.18	5.16	1610	2370	91600	10	63	0.4	30300	0.996	8199.05	166.47	2.03	overweight	overweight
Qatar	204976	450	2881060	Asia	0.992	80.2	0.247484375	1.29	28.1	28.9	126	126	5.17	5.25	1150	1490	11600	-10	63	0.0976	119000	1	7114.6	15.62	0.22	overweight	overweight
Romania	1053629	27971	19237682	Europe	0.541	75.2	0.326	16.1	25.4	25.2	129	129	4.89	4.9	334	428	230000	9	48	0.198	27200	0.843	5476.9	145.4	2.65	overweight	overweight
Russia	4742142	107902	145934460	Europe	0.746	72.1	0.485	16.2	26	27.2	129	129	4.93	5.09	326	525	16400000	4	29	0.161	26700	0.905	3249.5	73.94	2.28	overweight	overweight
Rwanda	24995	333	12952209	Africa	0.173	68.5	0.247484375	9.99	22.6	22.1	135	135	4.09	4.29	27.8	55.5	24700	-4	55	0.557	2360	0.666	192.98	2.57	1.33	normal weight	normal weight
Saint Kitts and Nevis	44	0	53192	Americas	0.308	72.73743315508021	0.247484375	10.6	28.2	30.5	129	129	4.71	4.89	405	669	260	3.9751552795031055	42.7909604519774	0.25	30300	0.7570138297872341	82.72	0	0	overweight	obese
Saint Lucia	4534	74	183629	Americas	0.188	75.5	0.206	12.1	24.6	27.2	125	125	4.58	4.8	282	465	610	3.9751552795031055	55	0.207	13100	0.884	2469.11	40.3	1.63	normal weight	overweight
Saint Vincent and the Grenadines	1855	11	110947	Americas	0.526	72.3	0.247484375	4.99	25.4	27.5	125	125	4.53	4.78	240	278	390	3.9751552795031055	58	0.13	11700	0.872	1671.97	9.91	0.59	overweight	overweight
Samoa	3	0	196130	Oceania	0.181	72.9	0.41	4.51	30.4	33.7	126	126	4.48	4.69	179	204	2830	3.9751552795031055	42.7909604519774	0.1	6540	0.982	1.53	0	0	obese	obese
San Marino	5060	90	33938	Europe	0.974	72.73743315508021	0.247484375	6.707608695652174	24.962433862433862	25.793121693121694	126.70370370370371	126.70370370370371	4.64978835978836	4.768624338624338	3120	3660	60	3.9751552795031055	42.7909604519774	0.333	58100	1	14909.54	265.19	1.78	overweight	overweight
Sao Tome and Principe	2301	35	219161	Africa	0.736	66.9	0.169	8.45	23.5	24.9	136	136	3.94	4.17	34.5	90	960	3.9751552795031055	46	0.146	3140	0.43	1049.91	15.97	1.52	normal weight	overweight
Saudi Arabia	416307	6946	34813867	Asia	0.841	76.9	0.147	0.34	27.9	29.6	127	127	4.63	4.84	427	680	2150000	-10	49	0.199	48300	1	1195.81	19.95	1.67	overweight	overweight
Senegal	40295	1107	16743930	Africa	0.477	68	0.107	0.51	21.9	24.3	130	130	4.08	4.24	32.5	58.5	193000	7	45	0.43	3740	0.515	240.65	6.61	2.75	normal weight	normal weight
Serbia	687944	6337	8737370	Europe	0.563	75.7	0.423	12.2	26.5	25.7	130	130	4.92	5.09	338	546	87500	8	41	0.388	18200	0.976	7873.58	72.53	0.92	overweight	overweight
Seychelles	5559	26	98340	Africa	0.571	73.6	0.212	12.1	25.6	28	129	129	5.23	5.18	339	369	460	3.9751552795031055	60	0.212	29400	1	5652.84	26.44	0.47	overweight	overweight
Sierra Leone	4053	79	7976985	Africa	0.425	60.4	0.247484375	9.48	22.5	23.9	135	135	3.82	4.05	4.82	42.5	72200	7	30	0.123	1540	0.157	50.81	0.99	1.95	normal weight	normal weight
Singapore	61121	30	5850343	Asia	1	84.8	0.247484375	1.54	23.8	22.9	121	121	5.17	5.3	629	1730	709	-2	84	0.295	91400	1	1044.74	0.51	0.05	normal weight	normal weight
Slovakia	381744	11647	5459643	Europe	0.537	77.4	0.309	13.3	26.9	26.3	130	130	5.07	5.09	930	1410	48100	10	50	0.227	33800	0.979	6992.11	213.33	3.05	overweight	overweight
Slovenia	239339	4243	2078932	Europe	0.548	81.1	0.265	14.9	27.4	26.6	130	130	5.18	5.2	1590	2150	20100	10	61	0.223	35600	0.991	11512.59	204.1	1.77	overweight	overweight
Solomon Islands	20	0	652858	Oceania	0.242	68.5	0.247484375	1.37	27.2	28.9	124	124	4.45	4.67	99.6	107	28000	8	39	0.0638	2180	0.335	3.06	0	0	overweight	overweight
Somalia	13915	713	15893219	Africa	0.456	58.5	0.247484375	0.5	22	22.7	132	132	4.22	4.33	729.5684324324325	1030.9251366120218	627000	0	9	0.243	636	0.383	87.55	4.49	5.12	normal weight	normal weight
South Africa	1579536	54331	59308690	Africa	0.669	66.3	0.184	10.2	26.9	29.5	131	131	4.48	4.71	286	649	1210000	9	43	0.454	12000	0.757	2663.25	91.61	3.44	overweight	overweight
South Sudan	10567	114	11193729	Africa	0.199	59.3	0.247484375	6.707608695652174	24.962433862433862	25.793121693121694	126.70370370370371	126.70370370370371	4.64978835978836	4.768624338624338	729.5684324324325	1030.9251366120218	664305.219895288	0	12	0.266	1980	0.113	94.4	1.02	1.08	overweight	overweight
Spain	3514942	78080	46754783	Europe	0.806	83.1	0.337	11.8	27.5	26.3	122	122	5.22	5.12	2100	2880	500000	10	57	0.419	36600	0.999	7517.82	167	2.22	overweight	overweight
Sri Lanka	106484	661	21413250	Asia	0.186	77.5	0.165	0.81	22	23.1	125	125	4.49	4.69	31.3	70	62700	4	38	0.0538	12800	0.958	497.28	3.09	0.62	normal weight	normal weight
Sudan	33944	2349	43849269	Africa	0.349	70.3	0.247484375	2.56	22.4	23.2	130	130	4.52	4.54	25	83.9	664305.219895288	-2	16	0.23723193717277488	4580	0.366	77.41	5.36	6.92	normal weight	normal weight
Suriname	10286	201	586634	Americas	0.661	72	0.247484375	6.56	25.5	27.8	125	125	4.51	4.75	235	492	156000	5	41	0.294	14300	0.845	1753.39	34.26	1.95	overweight	overweight
Sweden	967678	14002	10099270	Europe	0.877	82.5	0.22	9.5	26.4	25.1	123	123	5.15	4.96	3820	4710	407000	10	84	0.47	48000	0.993	9581.66	138.64	1.45	overweight	overweight
Switzerland	658143	10625	8654618	Europe	0.738	84	0.265	11.4	26.2	24.1	120	120	5.29	5.24	4610	7810	39500	10	85	0.386	59300	0.999	7604.53	122.77	1.61	overweight	normal weight
Syria	22631	1583	17500657	Asia	0.548	69.8	0.247484375	1.49	26.9	28.9	127	127	4.66	4.83	44.4	96.6	184000	-7	14	0.112	2930	0.912	129.32	9.05	6.99	overweight	overweight
Tajikistan	13308	90	9537642	Asia	0.273	70.3	0.247484375	3.39	23.8	23.9	130	130	4.17	4.32	13.1	49.1	139000	-3	21	0.234	3310	0.97	139.53	0.94	0.68	normal weight	normal weight
Tanzania	509	21	59734213	Africa	0.345	66.7	0.146	7.86	22.5	23.1	131	131	4.13	4.32	20.8	30.9	886000	-1	36	0.369	3150	0.299	0.85	0.04	4.13	normal weight	normal weight
Thailand	63570	188	69799978	Asia	0.507	78.1	0.217	7.08	23	24.4	121	121	4.99	5.12	134	179	511000	7	37	0.139	18500	0.988	91.07	0.27	0.3	normal weight	normal weight
Timor-Leste	2190	3	1318442	Asia	0.309	70.8	0.247484375	0.74	20.6	21.5	123	123	4.2	4.4	31.7	56.9	14900	7	38	0.385	6090	0.535	166.11	0.23	0.14	normal weight	normal weight
Togo	12931	123	8278737	Africa	0.422	64.4	0.247484375	1.92	21.9	22.7	131	131	3.86	4.07	18	40.6	54400	-2	32	0.187	1700	0.161	156.2	1.49	0.95	normal weight	normal weight
Trinidad and Tobago	10498	165	1399491	Americas	0.532	74.2	0.221	6.16	26.4	28.3	125	125	4.62	4.81	516	861	5130	10	41	0.324	29400	0.934	750.13	11.79	1.57	overweight	overweight
Tunisia	307215	10641	11818618	Africa	0.693	78.3	0.266	1.05	25.2	27.9	129	129	4.63	4.87	129	238	155000	3.9751552795031055	42	0.249	11500	0.909	2599.42	90.04	3.46	overweight	overweight
Turkey	4788700	39737	84339067	Asia	0.756	78.9	0.355	3.02	26.7	28.3	124	124	4.69	4.8	510	678	770000	9	40	0.173	25900	0.973	5677.91	47.12	0.83	overweight	overweight
Uganda	41797	342	45741000	Africa	0.244	65.7	0.121	16.4	22.4	22.5	135	135	4.07	4.28	10.2	46.7	201000	-1	26	0.349	1980	0.185	91.38	0.75	0.82	normal weight	normal weight
Ukraine	2113880	45607	43733759	Europe	0.695	70.5	0.247484375	17.5	25.4	26.2	132	132	4.8	4.88	133	234	579000	6	30	0.208	9080	0.962	4833.52	104.28	2.16	overweight	overweight
United Arab Emirates	518262	1584	9890400	Asia	0.868	73.3	0.144	0.52	28.1	29.6	122	122	5.18	5.28	1080	1450	71000	-8	71	0.5	65100	0.986	5240.05	16.02	0.31	overweight	overweight
United Kingdom	4429849	127759	67886004	Europe	0.837	81	0.357	13.2	27.4	26.9	124	124	5.42	5.37	2940	3500	242000	10	82	0.3	41200	0.991	6525.42	188.2	2.88	overweight	overweight
Uruguay	195734	2563	3473727	Americas	0.954	77	0.326	8.99	26.4	26.6	124	124	4.81	4.79	669	998	175000	10	70	0.231	21900	0.966	5634.7	73.78	1.31	overweight	overweight
US	32289049	575194	329466283	Americas	0.825	78.6	0.239	9.7	28.5	28.3	119	119	5.07	5.15	4440	8360	9150000	10	75	0.237	58200	1	9800.41	174.58	1.78	overweight	overweight
Uzbekistan	90406	647	33469199	Asia	0.504	70.3	0.128	3.61	25.3	25.4	124	124	4.26	4.41	39.1	82.4	425000	-9	22	0.291	7100	1	270.12	1.93	0.72	overweight	overweight
Vanuatu	4	1	292680	Oceania	0.254	64.7	0.288	0.96	26.8	28.5	132	132	4.61	4.74	143	157	12200	3.9751552795031055	43	0	2930	0.341	1.37	0.34	25	overweight	overweight
Venezuela	196386	2117	28435943	Americas	0.882	75.3	0.298	7.6	27.4	28.1	124	124	4.54	4.84	232	663	882000	-3	18	0.222	8600	0.939	690.63	7.44	1.08	overweight	overweight
Vietnam	2910	35	97338583	Asia	0.366	74.5	0.243	3.91	20.9	21.1	122	122	4.52	4.68	31.4	82.9	310000	-7	35	0.267	7760	0.835	2.99	0.04	1.2	normal weight	normal weight
West Bank and Gaza	295601	3231	5101416	Asia	0.764	76.8	0.247484375	6.707608695652174	26.6	29	127	127	4.48	4.65	729.5684324324325	1030.9251366120218	6020	3.9751552795031055	42.7909604519774	0.23723193717277488	4700	0.969	5794.49	63.34	1.09	overweight	overweight
Yemen	6294	1222	29825968	Asia	0.373	68.1	0.247484375	0.2	24.4	26.1	126	126	4.45	4.58	15.3	63.2	528000	-2	16	0.0097	2580	0.591	21.1	4.1	19.42	normal weight	overweight
Zambia	91533	1250	18383956	Africa	0.441	63.2	0.134	3.56	20.7	23.1	132	132	4.34	4.46	43.9	72.9	743000	7	37	0.168	3600	0.264	497.9	6.8	1.37	normal weight	normal weight
Zimbabwe	38235	1567	14862927	Africa	0.322	61.4	0.15	4.96	22	24.6	132	132	4.13	4.33	729.5684324324325	1030.9251366120218	387000	1	22	0.346	2420	0.362	257.25	10.54	4.1	normal weight	normal weight
