country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gambia,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100
Georgia,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500
Germany,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000
Ghana,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000
Greece,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000
Grenada,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Guatemala,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000
Guinea,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000
Guinea-Bissau,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100
Guyana,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000
Haiti,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600
Honduras,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000
Hungary,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89800,89800,89800,89600,89600,89600,89600,89600,89600,89600,89600,89600,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500
Iceland,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
India,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000,2970000
Indonesia,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000,1810000
Iran,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000,1630000
Iraq,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,437000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000
Ireland,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900
Israel,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600
Italy,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000
Jamaica,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800
Japan,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,366000,366000,366000,366000,366000,366000,366000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000
Jordan,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88200,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800
Kazakhstan,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000
Kenya,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000,569000
Kiribati,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810
Kuwait,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800,17800
Kyrgyz Republic,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000
Lao,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000
Latvia,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200
Lebanon,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200
Lesotho,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400
Liberia,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300,96300
Libya,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000,1760000
Liechtenstein,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Lithuania,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62600,62600,62600
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430
Madagascar,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000,582000
Malawi,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300,94300
Malaysia,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000,329000
Maldives,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Mali,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000
Malta,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Mauritania,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000
Mauritius,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
Mexico,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Moldova,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,33000,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900
Monaco,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Mongolia,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000
Montenegro,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500
Morocco,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000,446000
Mozambique,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000,786000
Myanmar,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,654000,653000,653000,653000,654000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000
Namibia,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000,823000
Nauru,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Nepal,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000
Netherlands,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700
New Zealand,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000
Nicaragua,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000
Niger,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000,1270000
Nigeria,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000,911000
North Korea,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000
