country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
North Macedonia,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25200,25200,25200,25200,25200,25200,25200,25200,25200,25200,25200,25200
Norway,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000
Oman,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000
Pakistan,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000,771000
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Palestine,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020
Panama,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300
Papua New Guinea,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000,453000
Paraguay,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000,397000
Peru,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000
Philippines,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000
Poland,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000
Portugal,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91600,91600,91600,91600,91600,91600,91600,91600,91600,91600
Qatar,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600
Romania,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,229000,229000,229000,229000,229000,230000,229000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000
Russia,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000
Rwanda,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700
Samoa,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
San Marino,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Sao Tome and Principe,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Saudi Arabia,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000
Senegal,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000
Serbia,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500
Seychelles,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Sierra Leone,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200
Singapore,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,675,687,689,689,694,695,700,700,702,704,706,707,709,709,709,709,709
Slovak Republic,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100
Slovenia,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100
Solomon Islands,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
Somalia,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000,627000
South Africa,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000
South Korea,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96700,96800,96800,96800,96900,96900,96900,97000,97100,97200,97200,97300,97400,97400,97400,97500,97500,97500
Spain,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,500000,500000,500000,500000,500000,500000,500000,500000,500000
Sri Lanka,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700
St. Kitts and Nevis,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
St. Lucia,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610
St. Vincent and the Grenadines,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
Suriname,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000
Sweden,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,407000,407000,407000,407000,407000,407000,407000
Switzerland,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500
Syria,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000
Tajikistan,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,139000,139000,139000,139000,139000
Tanzania,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000,886000
Thailand,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000,511000
Timor-Leste,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900
Togo,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400
Tonga,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720
Trinidad and Tobago,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130
Tunisia,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000
Turkey,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000,770000
Turkmenistan,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000
Tuvalu,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Uganda,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,201000,201000,201000,201000,201000,201000,201000,201000,201000
Ukraine,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000,579000
United Arab Emirates,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000
United Kingdom,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000
United States,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9160000,9150000,9150000,9150000,9150000,9150000,9150000,9150000,9150000,9150000,9150000,9150000
Uruguay,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000
Uzbekistan,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000,425000
Vanuatu,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200
Venezuela,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000,882000
Vietnam,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,311000,311000,311000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000
Yemen,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000,528000
Zambia,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000,743000
Zimbabwe,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000,387000
